id,tweet,polarity,NO URL,NO STOPWORD,NO NUMBER,NO REPEAT,NO ACRONYM,NO NEGATION,OUR
1467933112,the angel is going to miss the athlete this weekend ,0,angel going miss athlete weekend,the angel is going to miss the athlete this weekend,angel going miss athlete weekend,angel going miss athlete weekend,angel going miss athlete weekend,angel going miss athlete weekend,angel going miss athlete weekend
2323395086,It looks as though Shaq is getting traded to Cleveland to play w/ LeBron... Too bad for Suns' fans. The Big Cactus is no more ,0,loks though shaq getting traded cleveland play w lebron ... bad suns fans big cactus,it loks as though shaq is getting traded to cleveland to play w lebron ... too bad for suns fans the big cactus is no more,loks though shaq getting traded cleveland play w lebron ... bad suns fans big cactus,looks though shaq getting traded cleveland play w lebron ... bad suns fans big cactus,loks though shaq getting traded cleveland play w lebron ... bad suns fans big cactus,loks though shaq getting traded cleveland play w lebron ... bad suns fans big cactus,loks though shaq getting traded cleveland play w lebron ... bad suns fans big cactus
1467968979,@clarianne APRIL 9TH ISN'T COMING SOON ENOUGH ,0,@clariane april th coming soon enough,@clariane april th isn't coming soon enough,@clariane april ninth coming soon enough,@clarianne april th coming soon enough,@clariane april th coming soon enough,@clariane april th coming soon enough,april th coming soon enough
1990283756,drinking a McDonalds coffee and not understanding why someone would hurt me for no apparent reason. ,0,drinking mcdonalds coffee understanding someone would hurt apparent reason,drinking a mcdonalds coffee and not understanding why someone would hurt me for no apparent reason,drinking mcdonalds coffee understanding someone would hurt apparent reason,drinking mcdonalds coffee understanding someone would hurt apparent reason,drinking mcdonalds coffee understanding someone would hurt apparent reason,drinking mcdonalds coffee understanding someone would hurt apparent reason,drinking mcdonalds coffee understanding someone would hurt apparent reason
1988884918,So dissapointed Taylor Swift doesnt have a Twitter ,0,disapointed taylor swift doesnt twitter,so disapointed taylor swift doesnt have a twitter,disapointed taylor swift doesnt twitter,dissapointed taylor swift doesnt twitter,disapointed taylor swift doesnt twitter,disapointed taylor swift doesnt twitter,disapointed taylor swift doesnt twitter
1467984364,Wishes I was on the Spring Fling Tour with Dawn &amp; neecee Sigh  G'knight,0,wishes spring fling tour dawn nece sigh g'knight,wishes i was on the spring fling tour with dawn nece sigh g'knight,wishes spring fling tour dawn nece sigh g'knight,wishes spring fling tour dawn neecee sigh g'knight,wishes spring fling tour dawn nece sigh g'knight,wishes spring fling tour dawn nece sigh g'knight,wishes spring fling tour dawn nece sigh g'knight
1964951623,"got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo ",0,got sniffle got kids hubby left work sydney weekend boo ho,got a sniffle got the kids and hubby just left to work in sydney for the weekend boo ho,got sniffle got kids hubby left work sydney weekend boo ho,got sniffle got kids hubby left work sydney weekend boo hoo,got sniffle got kids hubby left work sydney weekend boo ho,got sniffle got kids hubby left work sydney weekend boo ho,got sniffle got kids hubby left work sydney weekend boo ho
1881133744,i've only been in sydney for 3 hrs but I miss my friends  especially @ktjade!!!,0,i've sydney hours miss friends especially @ktjade,i've only been in sydney for hours but i miss my friends especially @ktjade,i've sydney 3 hours miss friends especially @ktjade,i've sydney hours miss friends especially @ktjade,i've sydney hrs miss friends especially @ktjade,i've sydney hours miss friends especially @ktjade,i've sydney hours miss friends especially
1753802024,xboxtweet not working again ,0,xboxtwet working,xboxtwet not working again,xboxtwet working,xboxtweet working,xboxtwet working,xboxtwet working,xboxtwet working
1980497384,R.I.P to lebron/kobe puppet commercials... ,0,p lebron kobe puppet comercials ...,are i p to lebron kobe puppet comercials ...,p lebron kobe puppet comercials ...,p lebron kobe puppet commercials ...,r p lebron kobe puppet comercials ...,p lebron kobe puppet comercials ...,p lebron kobe puppet comercials ...
1755405128,Allergies sucks sometimes. Theres a super adorable 9 month old beagle named Sydney hanging out with my roomie and his friend. Can't pet. ,0,alergies sucks sometimes theres super adorable month old beagle named sydney hanging roomate friend can not pet,alergies sucks sometimes theres a super adorable month old beagle named sydney hanging out with my roomate and his friend can not pet,alergies sucks sometimes theres super adorable 9 month old beagle named sydney hanging roomate friend can not pet,allergies sucks sometimes theres super adorable month old beagle named sydney hanging roomate friend can not pet,alergies sucks sometimes theres super adorable month old beagle named sydney hanging roomie friend can not pet,alergies sucks sometimes theres super adorable month old beagle named sydney hanging roomate friend can't pet,alergies sucks sometimes theres super adorable month old beagle named sydney hanging roomate friend can not pet
1966205498,has a broken iphone ,0,broken iphone,has a broken iphone,broken iphone,broken iphone,broken iphone,broken iphone,broken iphone
2206224118,Line at McDonalds was too long so I can't get my sausage biscuit on ,0,line mcdonalds long can not get sausage biscuit,line at mcdonalds was too long so i can not get my sausage biscuit on,line mcdonalds long can not get sausage biscuit,line mcdonalds long can not get sausage biscuit,line mcdonalds long can not get sausage biscuit,line mcdonalds long can't get sausage biscuit,line mcdonalds long can not get sausage biscuit
1687790990,"@stephnewby there is a virus going around  congestion, throw up, &amp; high fever",0,@stephnewby virus going around congestion throw high fever,@stephnewby there is a virus going around congestion throw up high fever,@stephnewby virus going around congestion throw high fever,@stephnewby virus going around congestion throw high fever,@stephnewby virus going around congestion throw high fever,@stephnewby virus going around congestion throw high fever,virus going around congestion throw high fever
1963812485,I scratched my iPod ,0,scratched ipod,i scratched my ipod,scratched ipod,scratched ipod,scratched ipod,scratched ipod,scratched ipod
1467844505,I don't understand... I really don't ,0,do not understand ... really do not,i do not understand ... i really do not,do not understand ... really do not,do not understand ... really do not,do not understand ... really do not,understand ... really,do not understand ... really do not
2258491381,@Rove1974 @Pink is our hero too! Love her! Wanna go see her in Brisvegas again but sadly my bank balance wont let me ,0,@rove @pink hero love wanna go see brisvegas sadly bank balance wont let,@rove @pink is our hero too love her wanna go see her in brisvegas again but sadly my bank balance wont let me,@rove1974 @pink hero love wanna go see brisvegas sadly bank balance wont let,@rove @pink hero love wanna go see brisvegas sadly bank balance wont let,@rove @pink hero love wana go see brisvegas sadly bank balance wont let,@rove @pink hero love wanna go see brisvegas sadly bank balance wont let,hero love wanna go see brisvegas sadly bank balance wont let
1468039375,I hate the fact that I'm genuinely excited about my last tweet ,0,hate fact i'm genuinely excited last tweet,i hate the fact that i'm genuinely excited about my last tweet,hate fact i'm genuinely excited last tweet,hate fact i'm genuinely excited last tweet,hate fact i'm genuinely excited last tweet,hate fact i'm genuinely excited last tweet,hate fact i'm genuinely excited last tweet
2212063772,"Tula's sick! Nausious, Nasal congestion, headache, bodyaches and my nose is running a marathon. Theraflu please help ",0,tula's sick nausious nasal congestion headache bodyaches nose running marathon theraflu please help,tula's sick nausious nasal congestion headache bodyaches and my nose is running a marathon theraflu please help,tula's sick nausious nasal congestion headache bodyaches nose running marathon theraflu please help,tula's sick nausious nasal congestion headache bodyaches nose running marathon theraflu please help,tula's sick nausious nasal congestion headache bodyaches nose running marathon theraflu please help,tula's sick nausious nasal congestion headache bodyaches nose running marathon theraflu please help,tula's sick nausious nasal congestion headache bodyaches nose running marathon theraflu please help
1557163971,Hayfever time  not good!,0,hayfever time good,hayfever time not good,hayfever time good,hayfever time good,hayfever time good,hayfever time good,hayfever time good
1975133437,"I wish diversity was like one of those musicians with loads of stuff on YouTube, but no  #bgt",0,wish diversity like one musicians loads stuff youtube #bgt,i wish diversity was like one of those musicians with loads of stuff on youtube but no #bgt,wish diversity like one musicians loads stuff youtube #bgt,wish diversity like one musicians loads stuff youtube #bgt,wish diversity like one musicians loads stuff youtube #bgt,wish diversity like one musicians loads stuff youtube #bgt,wish diversity like one musicians loads stuff youtube
1932575931,"Oh No - the Cavs lost game 4  Cavs are 1 loss away from triggering a nuclear event that would make the hadron look like tiddlywinks ,,",0,oh cavs lost game cavs loss away trigering nuclear event would make hadron look like tidlywinks,oh no the cavs lost game cavs are loss away from trigering a nuclear event that would make the hadron look like tidlywinks,oh cavs lost game 4 cavs 1 loss away trigering nuclear event would make hadron look like tidlywinks,oh cavs lost game cavs loss away triggering nuclear event would make hadron look like tiddlywinks,oh cavs lost game cavs loss away trigering nuclear event would make hadron look like tidlywinks,oh cavs lost game cavs loss away trigering nuclear event would make hadron look like tidlywinks,oh cavs lost game cavs loss away trigering nuclear event would make hadron look like tidlywinks
1467899025,"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! ",0,still sick feeling bit better got new medicine ... hope feel good night sleep oh suppose snow damn,still sick feeling a bit better got some new medicine ... hope i feel good after a night of sleep oh and it's suppose to snow damn,still sick feeling bit better got new medicine ... hope feel good night sleep oh suppose snow damn,still sick feeling bit better got new medicine ... hope feel good night sleep ohh suppose snow damn,still sick feeling bit better got new medicine ... hope feel good night sleep oh suppose snow wtf,still sick feeling bit better got new medicine ... hope feel good night sleep oh suppose snow damn,still sick feeling bit better got new medicine ... hope feel good night sleep oh suppose snow damn
2324113552,worked on 5 bone marrow cases today! All + for cancer! ,0,worked bone marrow cases today cancer,worked on bone marrow cases today all for cancer,worked 5 bone marrow cases today cancer,worked bone marrow cases today cancer,worked bone marrow cases today cancer,worked bone marrow cases today cancer,worked bone marrow cases today cancer
1468042132,It was a sleepless night ,0,sleepless night,it was a sleepless night,sleepless night,sleepless night,sleepless night,sleepless night,sleepless night
1467985185,"@d_castillo ugh, that's disconcerting ",0,@d_castilo damn that's disconcerting,@d_castilo damn that's disconcerting,@d_castilo damn that's disconcerting,@d_castillo damn that's disconcerting,@d_castilo ugh that's disconcerting,@d_castilo damn that's disconcerting,_castilo damn that's disconcerting
1980282216,forgot about my english coursework &amp; my ipod is banjaxed; today is just not my day ,0,forgot english coursework ipod banjaxed today day,forgot about my english coursework my ipod is banjaxed today is just not my day,forgot english coursework ipod banjaxed today day,forgot english coursework ipod banjaxed today day,forgot english coursework ipod banjaxed today day,forgot english coursework ipod banjaxed today day,forgot english coursework ipod banjaxed today day
2179698078,@TweetRamona too bad it's in seattle.. ,0,@twetramona bad seatle ..,@twetramona too bad it's in seatle ..,@twetramona bad seatle ..,@tweetramona bad seattle ..,@twetramona bad seatle ..,@twetramona bad seatle ..,bad seatle ..
1467985259,MY TWEETS ARENT GOING THROUGH ,0,twets arent going,my twets arent going through,twets arent going,tweets arent going,twets arent going,twets arent going,twets arent going
2299794306,@SeattleRealEst8 439 calories; 28 grams of fat; 41.7 carbs...  by by Mexi-Fry.,0,@seatlerealest calories grams fat carbohydrate ... mexi-fry,@seatlerealest calories grams of fat carbohydrate ... by by mexi-fry,@seatlerealest8 439 calories 28 grams fat 41.7 carbohydrate ... mexi-fry,@seattlerealest calories grams fat carbohydrate ... mexi-fry,@seatlerealest calories grams fat carbs ... mexi-fry,@seatlerealest calories grams fat carbohydrate ... mexi-fry,calories grams fat carbohydrate ... mexi-fry
1695998263,@mglickman that reminds me of a bit howard stern did back in the day about oprah eating a lot.  i wish i could find it on the net. ,0,@mglickman reminds bit howard stern back day oprah eating lot wish could find net,@mglickman that reminds me of a bit howard stern did back in the day about oprah eating a lot i wish i could find it on the net,@mglickman reminds bit howard stern back day oprah eating lot wish could find net,@mglickman reminds bit howard stern back day oprah eating lot wish could find net,@mglickman reminds bit howard stern back day oprah eating lot wish could find net,@mglickman reminds bit howard stern back day oprah eating lot wish could find net,reminds bit howard stern back day oprah eating lot wish could find net
2175909248,Is wondering why it's always warm when she leaves London in the morning &amp; freezing when she gets to Woking ,0,wondering always warm leaves london morning freezing gets woking,is wondering why it's always warm when she leaves london in the morning freezing when she gets to woking,wondering always warm leaves london morning freezing gets woking,wondering always warm leaves london morning freezing gets woking,wondering always warm leaves london morning freezing gets woking,wondering always warm leaves london morning freezing gets woking,wondering always warm leaves london morning freezing gets woking
1467932979,@lolitariot oh no  hope you're not getting sick too!,0,@lolitariot oh hope getting sick,@lolitariot oh no hope you're not getting sick too,@lolitariot oh hope getting sick,@lolitariot oh hope getting sick,@lolitariot oh hope getting sick,@lolitariot oh hope getting sick,oh hope getting sick
1468036579,@mykele sayyyy whaaaa? I wasn't invited... ,0,@mykele say wha invited ...,@mykele say wha i wasn't invited ...,@mykele say wha invited ...,@mykele sayyyy whaaaa invited ...,@mykele say wha invited ...,@mykele say wha invited ...,say wha invited ...
1467913111,"#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  ",0,woke accident pushing pushing crying could not stop wetting pants,woke up and was having an accident it's pushing it's pushing he was crying because he could not stop from wetting his pants,3 woke accident pushing pushing crying could not stop wetting pants,woke accident pushing pushing crying could not stop wetting pants,woke accident pushing pushing crying could not stop wetting pants,woke accident pushing pushing crying stop wetting pants,woke accident pushing pushing crying could not stop wetting pants
1980105719,"@sweetbaboo1979 Have 2 -Angel is our old gal, nearly 11 and Sadie is her daughter. Angel's age catching up 2 her-cancer,joint failure  ",0,@swetbabo angel old gal nearly sadie daughter angel's age catching her-cancer joint failure,@swetbabo have angel is our old gal nearly and sadie is her daughter angel's age catching up her-cancer joint failure,@swetbabo1979 2 angel old gal nearly 1 sadie daughter angel's age catching 2 her-cancer joint failure,@sweetbaboo angel old gal nearly sadie daughter angel's age catching her-cancer joint failure,@swetbabo angel old gal nearly sadie daughter angel's age catching her-cancer joint failure,@swetbabo angel old gal nearly sadie daughter angel's age catching her-cancer joint failure,angel old gal nearly sadie daughter angel's age catching her-cancer joint failure
