tweet,sentiment class
angel going miss athlete weekend,0
loks though shaq getting traded cleveland play w lebron ... bad suns fans big cactus,0
@clariane april th coming soon enough,0
drinking mcdonalds coffee understanding someone would hurt apparent reason,0
disapointed taylor swift doesnt twitter,0
wishes spring fling tour dawn nece sigh g'knight,4
got sniffle got kids hubby left work sydney weekend boo ho,4
i've sydney hours miss friends especially @ktjade,0
xboxtwet working,0
p lebron kobe puppet comercials ...,0
alergies sucks sometimes theres super adorable month old beagle named sydney hanging roomate friend can not pet,4
broken iphone,4
line mcdonalds long can not get sausage biscuit,4
@stephnewby virus going around congestion throw high fever,0
scratched ipod,0
do not understand ... really do not,4
@rove @pink hero love wanna go see brisvegas sadly bank balance wont let,4
hate fact i'm genuinely excited last tweet,0
tula's sick nausious nasal congestion headache bodyaches nose running marathon theraflu please help,4
hayfever time good,4
wish diversity like one musicians loads stuff youtube #bgt,0
oh cavs lost game cavs loss away trigering nuclear event would make hadron look like tidlywinks,0
still sick feeling bit better got new medicine ... hope feel good night sleep oh suppose snow damn,4
worked bone marrow cases today cancer,0
sleepless night,0
@d_castilo damn that's disconcerting,0
forgot english coursework ipod banjaxed today day,0
@twetramona bad seatle ..,0
twets arent going,0
@seatlerealest calories grams fat carbohydrate ... mexi-fry,4
@mglickman reminds bit howard stern back day oprah eating lot wish could find net,0
wondering always warm leaves london morning freezing gets woking,4
@lolitariot oh hope getting sick,4
@mykele say wha invited ...,4
woke accident pushing pushing crying could not stop wetting pants,0
@swetbabo angel old gal nearly sadie daughter angel's age catching her-cancer joint failure,0
hm im usually dead rite ... damn skol monday .. oprah elen kathie lee hoda wish went skol millisecond,4
fever night,0
invented hayfever,0
wishing cavs nba finals ... can not let go,0
@endearingevania sure wish could go guys tmrw per usual school interferes,0
@ashleyltmsyf hiya shame mised sydney sick heard yal rocked mised party invited,0
#haveyouever wished microsoft never update xbox live i'm sad can not play cod live,0
lost ring no-where seen,0
trying set xbox live failing tremendously ... brain ache,0
@terencej told voice box gone bad ass keep smokin cancer sticks very funny,0
awh going home vegas :'( im going back june,4
really feel bad eating cheeseburger donut dinner damn need burn 2morrow :| darn mcdonalds,4
oh godnes cavs,0
would bet hundred bucks would cleveland la finals thought lebrons year,0
@lowjacker twitter top trends pises oprah tv celebs totally ruined twiters vibe,0
hate hayfever piriton claritin antihistamines seem make difference,0
people argentina say obama next jfk ... bad sad truth ...,4
headache bed work morning busy day 2morrow,4
@egyptsaidso right lastnites game damn still love lebron very funny,4
england rubbish wrong captain wrong selection batsmen jimmy anderson awful guted,0
stuck home,0
@cateycancer oh bad huh still got pink hair working,0
london liverpol street bit time sort photographs start reading dot robot did not find time coffee,4
sadly obama later,0
@britneyspears gone see london,0
@davidschwimer cold london awful get humid sticky heat great work,0
@dan_jf handy unfortunately apears borked facebok status column,0
work laptop officially dead .. happy ..,0
@henkuyinepu overated,0
@oprah tyler perry first time voter ... australia way behind oprah episode,0
guess cavs ...,0
wishing home underneath covers,0
@rocker sweet better game able play anywhere bad do not psp today,4
carelessness led wiping contacts iphone,4
damn damn hayfever eyes itchy rubs eye madly,0
wrote exactly three lines dialogue tonight gave,0
maybe eating mcdonalds downing sherbet fountain washed warm coke .. feel bit queasy quite bit foamy,0
stresed ... headache ... stresed,0
longer sunny seatle,4
i'm homework gosh darn hard,0
wee man away englandshire gran grandad that'l lost rest wk,4
mcdonalds lito sister aka cuzin very funny cristy,0
@anasacone love new cards would definitely hire ;),4
@supricky one enjoyable experiences i've youtube well done,4
dalas vegas goodness way suscon,4
@jbsfanargentina hey love pic amazing last chat jb facebok,4
@lmaticusl yup miles cancer good deed,4
@seanmurphymusic i'am love taylor swift's crazier think definitely cover it'l beautiful,0
piece fried chicken psp love bed,4
@mileycyrus brazil loves much awesome miley come brazil .. can not day come,4
@silmuri yeah that'd awesome ... gona new oprah freakin yeah ninja-rols sil eat chocolate,4
@daniasheonline aw caled sexy nice rock dani made night girl happy i'l give props anytime,4
@mchelsea get glass wine nice book chilax oh wait seatle i'l probably rain hah,0
happen @oprah twitter hours got folowers counting ... go girlfriend,4
lakers going win advance finals,4
@lightinthesky wow enjoy,0
drew cute baby zebra think favorite far,4
went calgary lads gaspar sit boot watch flames versus la kings calgary nice night,4
@batistini lols go cavs orlando owned today,4
@carquete ps please try see get cougar town broadcast internationally im brazilian great fan,0
l taylor swift.she amazing music wonderful makes happy,4
fine-tuning part song mady making sounding good feel pro very funny,4
gran turismo psp f computer ask gran turismo computer perhaps,0
@dornx give time ill come sa london haha good luck,0
hanging biology til woo,4
happy morning la toat lumea,4
watching oprah taped earlier twitter today,4
chrisete michele came ipod mellow,0
lakers going finals wee,4
getting hair cut texting brother getting updates iran baseball game god love iphone,4
@iluvnkotb wants follow folows twitter nice organizations,0
@dmf sweet big hi,4
@scrambledegos seatle nice green reminds germany,4
great song @sharpatoulas seatle's best ♫,4
@taylorswift taylor swift think pretty makes heart melt everytime see face,4
starbucks tanning good start today,4
@oprah happy back tarhel state even blue devil country,0
long till london baby emirates sunday yeah can not wait ...,0
got back brazil last wk everyone good full force preparing arrival boy,4
@misydneyj im good very funny ... feel awake,4
lakers got .. hahah love la,4
pierce surprised w koi fish today he's best mention he's remodeling whole apt i'm grateful life,4
still playin cards girls,0
great fun day best friend watch pride prejudice eat mcdonalds taking funny videos,4
@nicolerichie favorite show series little,0
@beycah good beca good sleep,4
yeah lakers stinkin excited cavs need shut magic best finals possible,4
@seodubai go #lakers go good morning,4
@nick_carter do not forget dear you'l always mind heart ok big kiss special affection brazil,4
wow announcement new halo game bungie halo reach rumor true scheduled #xboxe,4
@hotglasblower oprah would touched feminine side today since love som much even dvr'd,4
im glad good time wntd something nice,4
lakers half looking good,4
@alix_says like school except there's even homework everyone's lot nicer normally,4
#xboxe gameplay loks awesome always bungie,4
one air crash air france aircraft brazil paris lost mid atlantic,0
bye bye vegas hello long ass drive home,4
@shantymanfan got package wow i'm excited one plant pot water till grows,0
@ep soccer new england revolution aka revs taylor twelman for the win,4
@lakers girls better something amazing athis parade likelythey ruin thebeauty thatis goinon unfortunately suck,0
@obamanews pages redirected nowhere,0
damn ran mcdonalds .. hungry time eat,0
hayfever can not arsed grounded hate,0
loving life ... loving,4
@amberpacific know do not know said,4
@vishnupsp yea man missing #bck really hard college eng kothamangalam ..,0
@nahrain yeah torturer lynde england another sick puppy,0
@brenasaurus lame mother said work say saturday :'(,4
@enterbeladona duno use forum get frustrated i'l miss talking,0
ninong mike died yesterday .. please pray everyone's sad facebok statistic ..,4
damn silverstone wotya hold racing day i'l traveling back middle england boo,0
continental check-in seatac brutal waited minutes get boarding pases printed ... worse yet ... starbucks closed,0
@abdj poor cavs ... hard work,0
completely forgot trav wanted play xbox tonight,4
forgot iphone home feel naked without,4
going bed early got headache ...,4
worried friends break-in laptops stolen nothing else ipod nano left dining table data backed,0
@rubyrose prop did not pass ... shocked even go vote obama work magic,4
going bed feeling well today got fever,4
keep drinking coffee wishing starbucks,0
@drewkolar dad threw i'm grandma's tonight .. need drinking buddy i'm brazil really around corner,0
exhausted brutal headache,4
loss tough fans lebron yes indeed,0
shiny new white gb iphone g unboxing need take place later due priorities,4
joging isnt really cool especially got fever,4
waiting hopefully gets facebok soon something wrong though people can not write wall hope fixed soon,4
i'm stuck awake middle night second day row felt terrible yesterday,0
@michael_cera starbucks best work know what're getting,4
starting think obama hype old politicians,4
kelly clarkson cd already going long ride scranton @anibanani @fakealvy #blamedrewscancer,4
